photo_ID,region,marina,company,photo_type,day,month,year,M_mahi_gaffers,F_mahi_gaffers,mahi_bailers,wahoo,Blackfin Tuna,Kingfish,Bonita,Blue Runners,Yellowtail Snapper,African Pompano,Tripletail,Rainbow Runner,Amberjack/Banded Rudderfish/Almaco Jack,Cero/Spanish Mackerel,Red Grouper,Skipjack Tuna,Golden Tilefish,Mangrove_Snapper,Mutton Snapper,Vermillion Snapper,Black Grouper,Yellow Jack,Blackbelly Rosefish,Barracuda,Snowy Grouper,Silk Snapper,Porgies,Red Snapper,Sailfish,Atlantic Bonito,Triggerfish,Notes
,Keys,Marathon,Two Conchs,Boat,1,1,2019,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Boat,3,1,2019,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Boat,5,1,2019,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Boat,11,1,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,26,3,2019,,,10,,11,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,31,3,2019,1,,16,,,1,,,22,,3,1,11,1,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,3,4,2019,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,4,4,2019,1,,4,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,6,4,2019,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,12,4,2019,2,3,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,12,4,2019,,1,,,,2,,,39,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,16,4,2019,1,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,7,5,2019,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,18,5,2019,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,26,5,2019,,,12,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,29,5,2019,1,2,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,31,5,2019,,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,4,6,2019,,,25,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,9,6,2019,,1,10,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,10,6,2019,,,22,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,11,6,2019,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,12,6,2019,,,9,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,14,6,2019,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,14,6,2019,2,2,10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,14,6,2019,,,18,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,15,6,2019,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,could be 1-5 more bailers
,Keys,Marathon,Two Conchs,Layout,15,6,2019,,3,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,15,6,2019,,,29,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,17,6,2019,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,18,6,2019,1,,40,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,could be 1-5 more
,Keys,Marathon,Two Conchs,Layout,19,6,2019,,1,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,19,6,2019,,,14,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,21,6,2019,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,22,6,2019,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,23,6,2019,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,24,6,2019,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,26,6,2019,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,28,6,2019,,,12,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,1,7,2019,,,23,,,,,,,,2,,1,,,,,1,1,,1,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,4,7,2019,,,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,5,7,2019,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,6,7,2019,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,10,7,2019,1,2,4,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,12,7,2019,,,9,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,12,7,2019,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,13,7,2019,,,13,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,17,7,2019,1,,13,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,18,7,2019,2,,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,19,7,2019,,,19,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,19,7,2019,,,17,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,21,7,2019,1,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,22,7,2019,,,7,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,23,7,2019,,,7,,5,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,26,7,2019,,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keys,Marathon,Two Conchs,Layout,27,7,2019,,,8,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,
