region,marina,company,photo_type,photo_ID,day,month,year,Unk_Mahi,M_mahi_gaffers,F_mahi_gaffers,mahi_bailers,wahoo,Tuna_Complex,Kingfish,Triggerfish ,Tilefish,Rainbow_Runner,Amberjack_Complex,Grouper_Complex,Black_Sea_Bass,Barracuda,Cobia,Bluefish,Spanish_Mackerel,Swordfish,Ribbonfish,Blackbelly_Rosefish,Marlin,Sailfish
North Carolina,Oregon Inlet Fishing Center,,Layout,41619,16,4,2019,3,,,1,,13,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,40719,7,4,2019,1,,,,,10,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,40619,6,4,2019,1,,,,,5,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,50819,8,5,2019,1,1,,,1,12,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,50419,4,5,2019,30,,,,,6,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,50219,2,5,2019,14,,,,,6,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,43019,30,4,2019,1,,,,,12,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,42219,22,4,2019,1,,3,,,20,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,42119,21,4,2019,,,1,5,,3,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,51119,11,5,2019,40,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,51619,16,5,2019,45,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,51819,18,5,2019,17,1,,3,,1,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,051919_1,19,5,2019,40,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,052019_4,20,5,2019,45,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,052019_3,20,5,2019,47,,,,,,,,19,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,052019_1,20,5,2019,55,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,52119,21,5,2019,7,,,,,1,,,6,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,52219,22,5,2019,10,,,,,1,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,52319,23,5,2019,31,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,052319_1,23,5,2019,43,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,052319_2,23,5,2019,6,,,,,2,19,,,,2,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,052319_3,23,5,2019,47,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,52819,28,5,2019,2,,,,,9,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,60519,5,6,2019,,,,41,,1,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,060519_1,5,6,2019,9,3,,,1,1,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061219_1,12,6,2019,2,1,,,,6,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061219_3,12,6,2019,6,,,,,4,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061219_4,12,6,2019,37,,,,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061219_5,12,6,2019,,,,1,,,7,17,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,61419,14,6,2019,3,,,,,6,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061419_1,14,6,2019,9,,,,,9,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,61919,19,6,2019,3,,,,,7,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061919_1,19,6,2019,1,,,,,5,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061919_2,19,6,2019,,1,,,,2,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,061919_3,19,6,2019,,,,35,,,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,62119,21,6,2019,2,,,,,8,,,,,,,,,,,,,,,,
North Carolina,Oregon Inlet Fishing Center,,Layout,062219_7,22,6,2019,,,,,1,7,,,,,,,,,,,,,,,,
