spnam,spleg,cols,pchs,cexs
mahi_bailers,Mahi bailers,#00000030,17,1.2
mahi_gaffers,Mahi gaffers,#00000090,17,1.4
wahoo,Wahoo,#02AD24,18,1.5
Blackfin Tuna,Blackfin tuna,#00FFBE,19,1
Bonita,Bonita,#005300,19,1
Kingfish,Kingfish,#009FFF,19,1
Yellowtail Snapper,Yellowtail snapper,#FFD300,19,1
Mangrove_Snapper,Mangrove snapper,#9A4D42,19,1
Vermillion Snapper,Vermillion snapper,#F1085C,19,1
Amberjacks,Amberjacks,#783FC1,19,1
Skipjack Tuna,Skipjack tuna,#FFACFD,19,1
Tilefish,Tilefish,#B1CC71,19,1
Barracuda,Barracuda,#1F9698,19,1
Mutton Snapper,Mutton snapper,#FE8F42,19,1
Porgies,Porgies,#DD00FF,19,1
Blackbelly Rosefish,Blackbelly rosefish,#FF0010,19,1
Blue Runners,Blue runners,#720055,19,1
Silk Snapper,Silk snapper,#766C95,19,1
Snowy Grouper,Snowy grouper,#FF00B6,19,1
Tripletail,Tripletail,#C8FF00,19,1
Tuna_Complex,Tunas ,#00FFBE,19,1
Triggerfish,Triggerfish,#FE8F42,19,1
Black_Sea_Bass,Black sea bass,#FFE100,19,1
Blackbelly_Rosefish,Blackbelly rosefish,#FF0010,19,1
Grouper Complex,Groupers,#DD00FF,19,1
